year;abbr;canton;age;sex;population
1991;CH;Suisse;0;1;43813
1991;CH;Suisse;1;1;42540
1991;CH;Suisse;2;1;41526
1991;CH;Suisse;3;1;41688
1991;CH;Suisse;4;1;40005
1991;CH;Suisse;5;1;40140
1991;CH;Suisse;6;1;39509
1991;CH;Suisse;7;1;40165
1991;CH;Suisse;8;1;39635
1991;CH;Suisse;9;1;39804
1991;CH;Suisse;10;1;39845
1991;CH;Suisse;11;1;39850
1991;CH;Suisse;12;1;38759
1991;CH;Suisse;13;1;38507
1991;CH;Suisse;14;1;38985
1991;CH;Suisse;15;1;38835
1991;CH;Suisse;16;1;40025
1991;CH;Suisse;17;1;41932
1991;CH;Suisse;18;1;43282
1991;CH;Suisse;19;1;45062
1991;CH;Suisse;20;1;47050
1991;CH;Suisse;21;1;48380
1991;CH;Suisse;22;1;49498
1991;CH;Suisse;23;1;51502
1991;CH;Suisse;24;1;53360
1991;CH;Suisse;25;1;55919
1991;CH;Suisse;26;1;58209
1991;CH;Suisse;27;1;59950
1991;CH;Suisse;28;1;59753
1991;CH;Suisse;29;1;59131
1991;CH;Suisse;30;1;57852
1991;CH;Suisse;31;1;57517
1991;CH;Suisse;32;1;56756
1991;CH;Suisse;33;1;56008
1991;CH;Suisse;34;1;55836
1991;CH;Suisse;35;1;55012
1991;CH;Suisse;36;1;53504
1991;CH;Suisse;37;1;52074
1991;CH;Suisse;38;1;50812
1991;CH;Suisse;39;1;51228
1991;CH;Suisse;40;1;49738
1991;CH;Suisse;41;1;51950
1991;CH;Suisse;42;1;51408
1991;CH;Suisse;43;1;52280
1991;CH;Suisse;44;1;52068
1991;CH;Suisse;45;1;52250
1991;CH;Suisse;46;1;51087
1991;CH;Suisse;47;1;50245
1991;CH;Suisse;48;1;48705
1991;CH;Suisse;49;1;47014
1991;CH;Suisse;50;1;43575
1991;CH;Suisse;51;1;40965
1991;CH;Suisse;52;1;39947
1991;CH;Suisse;53;1;38797
1991;CH;Suisse;54;1;37420
1991;CH;Suisse;55;1;37635
1991;CH;Suisse;56;1;37228
1991;CH;Suisse;57;1;36515
1991;CH;Suisse;58;1;34610
1991;CH;Suisse;59;1;34213
1991;CH;Suisse;60;1;33023
1991;CH;Suisse;61;1;32547
1991;CH;Suisse;62;1;30777
1991;CH;Suisse;63;1;29621
1991;CH;Suisse;64;1;28663
1991;CH;Suisse;65;1;27999
1991;CH;Suisse;66;1;27208
1991;CH;Suisse;67;1;26067
1991;CH;Suisse;68;1;25846
1991;CH;Suisse;69;1;24710
1991;CH;Suisse;70;1;24824
1991;CH;Suisse;71;1;23633
1991;CH;Suisse;72;1;19491
1991;CH;Suisse;73;1;18529
1991;CH;Suisse;74;1;17283
1991;CH;Suisse;75;1;16829
1991;CH;Suisse;76;1;15762
1991;CH;Suisse;77;1;16691
1991;CH;Suisse;78;1;15415
1991;CH;Suisse;79;1;14247
1991;CH;Suisse;80;1;12529
1991;CH;Suisse;81;1;11738
1991;CH;Suisse;82;1;10226
1991;CH;Suisse;83;1;9233
1991;CH;Suisse;84;1;7701
1991;CH;Suisse;85;1;6617
1991;CH;Suisse;86;1;5466
1991;CH;Suisse;87;1;4486
1991;CH;Suisse;88;1;3558
1991;CH;Suisse;89;1;2883
