year;kt;abbr;canton;population;variation_absolue;variation_pourcent;Naissance_vivante;Deces;Accroissement_naturel
1991;1;ZH;Zurich;1151718;8469;0.7;13067;10807;2260
1991;2;BE;Berne;949770;7345;0.8;11210;9607;1781
1991;3;LU;Lucerne;326283;4859;1.5;4615;2799;1816
1991;4;UR;Uri;35363;334;1;445;309;136
1991;5;SZ;Schwytz;113553;2478;2.2;1621;910;711
1991;6;OW;Obwald;29712;695;2.4;429;265;164
1991;7;NW;Nidwald;34344;666;2;523;248;275
1991;8;GL;Glaris;38720;520;1.4;523;412;111
1991;9;ZG;Zoug;85882;1470;1.7;1072;568;504
1991;10;FR;Fribourg;210783;4109;2;3077;1853;1224
1991;11;SO;Soleure;232600;3514;1.5;2809;2198;611
1991;12;BS;Bâle-Ville;195647;1819;0.9;1964;2636;-672
1991;13;BL;Bâle-Campagne;232333;1030;0.4;2677;1792;708
1991;14;SH;Schaffhouse;72457;780;1.1;856;718;138
1991;15;AR;Appenzell Rh.-Ext.;52437;884;1.7;736;559;177
1991;16;AI;Appenzell Rh.-Int.;14251;143;1;245;154;91
1991;17;SG;Saint-Gall;427648;6472;1.5;6129;3763;2366
1991;18;GR;Grisons;176188;2665;1.5;2345;1596;749
1991;19;AG;Argovie;506818;8783;1.8;6553;3954;2599
1991;20;TG;Thurgovie;210542;4222;2;3065;1829;1236
1991;21;TI;Tessin;290000;3256;1.1;2898;2635;263
1991;22;VD;Vaud;587283;9759;1.7;8186;5482;2704
1991;23;VS;Valais;257730;5768;2.3;3561;1962;1599
1991;24;NE;Neuchâtel;161774;2052;1.3;1983;1690;293
1991;25;GE;Genève;381404;2749;0.7;4739;3244;1495
1991;26;JU;Jura;67528;739;1.1;872;644;227
1992;1;ZH;Zurich;1158077;6359;0.6;13179;10677;2502
1992;2;BE;Berne;953458;3688;0.4;11279;9547;1910
1992;3;LU;Lucerne;331830;5547;1.7;4650;2789;1861
1992;4;UR;Uri;35544;181;0.5;478;289;189
1992;5;SZ;Schwytz;116090;2537;2.2;1686;937;749
1992;6;OW;Obwald;30247;535;1.8;418;252;166
1992;7;NW;Nidwald;34866;522;1.5;518;267;251
1992;8;GL;Glaris;38976;256;0.7;508;382;126
1992;9;ZG;Zoug;87065;1183;1.4;1116;578;538
1992;10;FR;Fribourg;214555;3772;1.8;3162;1840;1322
1992;11;SO;Soleure;234878;2278;1;2803;2079;724
1992;12;BS;Bâle-Ville;196634;987;0.5;1918;2620;-702
1992;13;BL;Bâle-Campagne;233151;818;0.4;2776;1765;834
1992;14;SH;Schaffhouse;73028;571;0.8;853;750;103
1992;15;AR;Appenzell Rh.-Ext.;53449;1012;1.9;772;565;207
1992;16;AI;Appenzell Rh.-Int.;14548;297;2.1;260;139;121
1992;17;SG;Saint-Gall;432819;5171;1.2;6006;3891;2115
1992;18;GR;Grisons;179279;3091;1.8;2433;1599;834
1992;19;AG;Argovie;511979;5161;1;6602;3955;2647
1992;20;TG;Thurgovie;213167;2625;1.2;3017;1839;1178
1992;21;TI;Tessin;294108;4108;1.4;2951;2670;281
1992;22;VD;Vaud;593007;5724;1;8056;5502;2554
1992;23;VS;Valais;262389;4659;1.8;3784;1988;1796
1992;24;NE;Neuchâtel;162581;807;0.5;2068;1636;432
1992;25;GE;Genève;383911;2507;0.7;4695;3084;1611
1992;26;JU;Jura;68323;795;1.2;922;662;259
1993;1;ZH;Zurich;1162083;4006;0.3;12822;10558;2264
1993;2;BE;Berne;956617;3159;0.3;10650;9536;1268
1993;3;LU;Lucerne;335385;3555;1.1;4556;2781;1775
1993;4;UR;Uri;35727;183;0.5;453;310;143
1993;5;SZ;Schwytz;118528;2438;2.1;1667;988;679
1993;6;OW;Obwald;30837;590;2;412;252;160
1993;7;NW;Nidwald;35393;527;1.5;471;256;215
1993;8;GL;Glaris;39138;162;0.4;467;445;22
1993;9;ZG;Zoug;88583;1518;1.7;1088;557;531
1993;10;FR;Fribourg;218704;4149;1.9;3109;1779;1330
1993;11;SO;Soleure;236389;1511;0.6;2777;2222;555
1993;12;BS;Bâle-Ville;197403;769;0.4;1985;2554;-569
1993;13;BL;Bâle-Campagne;234910;1759;0.8;2605;1740;713
1993;14;SH;Schaffhouse;73588;560;0.8;848;795;53
1993;15;AR;Appenzell Rh.-Ext.;54087;638;1.2;758;527;231
1993;16;AI;Appenzell Rh.-Int.;14680;132;0.9;260;136;124
1993;17;SG;Saint-Gall;436967;4148;1;5645;3774;1871
1993;18;GR;Grisons;181957;2678;1.5;2280;1617;663
1993;19;AG;Argovie;518945;6966;1.4;6275;3996;2279
1993;20;TG;Thurgovie;217129;3962;1.9;2936;1932;1004
1993;21;TI;Tessin;297955;3847;1.3;2969;2674;295
1993;22;VD;Vaud;596736;3729;0.6;7663;5597;2066
1993;23;VS;Valais;266713;4324;1.6;3505;2038;1467
1993;24;NE;Neuchâtel;163884;1303;0.8;2071;1608;463
1993;25;GE;Genève;387606;3695;1;4655;3136;1519
1993;26;JU;Jura;68626;303;0.4;835;704;129
1994;1;ZH;Zurich;1168567;6484;0.6;12769;10675;2094
1994;2;BE;Berne;941747;600;0.1;10554;9175;1380
1994;3;LU;Lucerne;337941;2556;0.8;4348;2796;1552
1994;4;UR;Uri;35933;206;0.6;445;293;152
1994;5;SZ;Schwytz;120576;2048;1.7;1668;919;749
1994;6;OW;Obwald;30958;121;0.4;396;278;118
1994;7;NW;Nidwald;35983;590;1.7;468;234;234
1994;8;GL;Glaris;39388;250;0.6;508;412;96
1994;9;ZG;Zoug;90412;1829;2.1;1140;563;577
1994;10;FR;Fribourg;222227;3523;1.6;3106;1910;1196
1994;11;SO;Soleure;237338;949;0.4;2642;2267;375
1994;12;BS;Bâle-Ville;197054;-349;-0.2;1985;2547;-562
1994;13;BL;Bâle-Campagne;251259;879;0.4;2564;1845;719
1994;14;SH;Schaffhouse;73894;306;0.4;866;750;116
1994;15;AR;Appenzell Rh.-Ext.;54227;140;0.3;696;542;154
1994;16;AI;Appenzell Rh.-Int.;14742;62;0.4;233;134;99
1994;17;SG;Saint-Gall;440744;3777;0.9;5671;3808;1863
1994;18;GR;Grisons;184155;2198;1.2;2088;1569;519
1994;19;AG;Argovie;523114;4169;0.8;6233;3851;2382
1994;20;TG;Thurgovie;220335;3206;1.5;2914;1746;1168
1994;21;TI;Tessin;302131;4176;1.4;3108;2677;431
1994;22;VD;Vaud;602099;5363;0.9;7657;5329;2328
1994;23;VS;Valais;269341;2628;1;3494;2130;1364
1994;24;NE;Neuchâtel;164176;292;0.2;1939;1662;277
1994;25;GE;Genève;391699;4093;1.1;4635;3211;1424
1994;26;JU;Jura;68979;353;0.5;853;664;188
1995;1;ZH;Zurich;1175457;6890;0.6;12809;10839;1970
1995;2;BE;Berne;941952;205;0;10373;9521;854
1995;3;LU;Lucerne;340536;2595;0.8;4397;2831;1566
1995;4;UR;Uri;35876;-57;-0.2;439;335;104
1995;5;SZ;Schwytz;122409;1833;1.5;1706;902;804
1995;6;OW;Obwald;31310;352;1.1;400;260;140
1995;7;NW;Nidwald;36466;483;1.3;443;250;193
1995;8;GL;Glaris;39410;22;0.1;458;402;56
1995;9;ZG;Zoug;92392;1980;2.2;1145;622;523
1995;10;FR;Fribourg;224552;2325;1;3055;1896;1159
1995;11;SO;Soleure;239264;1926;0.8;2550;2221;329
1995;12;BS;Bâle-Ville;195759;-1295;-0.7;1854;2610;-756
1995;13;BL;Bâle-Campagne;252331;1072;0.4;2581;1878;703
1995;14;SH;Schaffhouse;74035;141;0.2;810;720;90
1995;15;AR;Appenzell Rh.-Ext.;54104;-123;-0.2;693;582;111
1995;16;AI;Appenzell Rh.-Int.;14750;8;0.1;214;135;79
1995;17;SG;Saint-Gall;442350;1606;0.4;5449;4000;1449
1995;18;GR;Grisons;185063;908;0.5;2135;1603;532
1995;19;AG;Argovie;528887;5773;1.1;6232;4080;2152
1995;20;TG;Thurgovie;223372;3037;1.4;2880;1790;1090
